"ID"	"AIOne"	"AITwo"	"StartPlayerIndex"	"AIOneWin"
"318"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"319"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"320"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"321"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"322"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"323"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"324"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"325"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"326"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"327"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"328"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"329"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"330"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"331"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"332"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"333"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"334"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"335"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"336"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"337"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"338"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"339"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"340"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"341"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"342"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"343"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"344"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"345"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"346"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"347"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"348"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"349"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"350"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
